Timestamp,ElapsedMillis,Yaw,Pitch,Roll,Altitude,YawServo,PitchServo
16:19:46.579,14505,1.20,2.08,1.62,-1.9,-7.51,-2.47
16:19:46.635,14561,0.34,3.69,0.00,-0.0,1.36,14.82
16:19:46.693,14619,0.29,3.66,0.00,-0.1,0.20,2.24
16:19:46.750,14676,0.20,3.59,-0.00,-0.2,-0.33,1.86
16:19:46.807,14733,0.21,3.64,-0.00,-0.2,0.23,2.47
16:19:46.865,14791,0.18,3.63,-0.02,-0.1,-0.00,2.21
16:19:46.922,14848,0.08,3.54,0.01,-0.1,-0.08,2.08
16:19:46.979,14905,-0.37,3.30,-0.01,-0.1,-1.26,1.54
16:19:47.036,14962,-1.11,2.87,-0.01,-0.1,-2.33,0.92
16:19:47.093,15019,-2.07,2.21,-0.04,-0.2,-3.42,0.05
16:19:47.150,15076,-3.07,1.27,-0.04,-0.2,-4.19,-1.14
16:19:47.207,15133,-3.81,0.32,-0.07,-0.1,-4.37,-2.14
16:19:47.264,15190,-4.27,-0.62,-0.08,-0.2,-3.92,-2.52
16:19:47.321,15247,-3.96,-1.41,-0.12,-0.2,-2.03,-2.63
16:19:47.378,15304,-2.88,-2.08,-0.08,-0.1,0.83,-2.77
16:19:47.437,15363,-1.13,-2.82,-0.12,-0.2,3.19,-3.24
16:19:47.492,15418,0.54,-3.39,-0.11,-0.1,4.43,-3.36
16:19:47.551,15477,1.77,-3.62,-0.14,-0.1,4.19,-2.75
16:19:47.608,15534,2.71,-3.42,-0.13,-0.2,3.83,-1.55
16:19:47.665,15591,3.08,-2.81,-0.16,-0.1,2.91,-0.29
16:19:47.722,15648,2.78,-1.66,-0.13,-0.1,1.01,1.73
16:19:47.779,15705,2.32,-0.59,-0.14,-0.1,0.58,2.46
16:19:47.836,15762,1.13,2.22,-0.11,-0.1,-1.47,6.29
16:19:47.893,15819,0.54,4.25,-0.09,-0.2,-1.42,7.91
16:19:47.950,15877,0.49,5.79,-0.04,-0.1,-0.08,7.63
16:19:48.007,15933,0.99,6.62,-0.09,-0.1,1.58,6.35
16:19:48.065,15991,1.72,6.56,-0.04,-0.1,2.77,4.22
16:19:48.123,16049,2.80,5.86,-0.06,-0.1,4.30,2.08
16:19:48.179,16105,3.99,4.89,-0.04,-0.1,5.36,0.87
16:19:48.237,16163,4.71,3.89,-0.01,-0.1,4.86,0.36
16:19:48.294,16220,4.57,3.09,0.01,-0.2,2.76,-0.00
16:19:48.351,16277,3.52,2.19,-0.03,-0.1,-0.13,-0.52
16:19:48.408,16334,1.77,1.38,-0.07,-0.2,-2.77,-0.77
16:19:48.465,16391,-0.12,0.77,-0.07,-0.2,-4.68,-0.77
16:19:48.523,16449,-1.61,0.36,-0.01,-0.1,-4.82,-0.52
16:19:48.580,16506,-2.41,0.18,-0.12,-0.0,-3.57,-0.10
16:19:48.637,16564,-1.98,0.33,-0.14,-0.1,-0.44,0.81
16:19:48.694,16620,-0.93,0.89,0.01,-0.2,2.07,2.17
16:19:48.752,16678,0.15,1.83,0.03,-0.1,2.95,3.47
16:19:48.808,16734,0.78,3.22,0.07,-0.3,2.17,5.36
16:19:48.865,16791,0.79,4.78,0.08,-0.1,0.72,7.26
16:19:48.923,16849,0.50,6.39,0.11,-0.3,-0.32,8.34
16:19:48.981,16907,0.19,7.53,0.12,-0.3,-0.60,7.90
16:19:49.037,16963,0.20,7.73,0.09,-0.2,0.07,5.95
16:19:49.095,17021,0.65,7.16,0.06,-0.2,1.43,3.64
16:19:49.151,17077,1.37,5.96,0.03,-0.2,2.52,1.63
16:19:49.209,17135,2.19,4.11,0.03,-0.2,3.29,-1.00
16:19:49.266,17192,2.85,2.17,0.03,-0.1,3.46,-2.66
