Timestamp,ElapsedMillis,Yaw,Pitch,Roll,Altitude,YawServo,PitchServo
22:05:42.218,8786,4.08,3.74,-4.55,0.0,-8.03,10.50
22:05:42.219,8787,4.08,3.74,-4.55,0.0,-8.03,10.50
22:05:42.219,8787,4.08,3.74,-4.55,0.0,-8.03,10.50
22:05:42.220,8788,4.08,3.74,-4.55,0.0,-8.03,10.50
22:05:42.220,8788,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:42.318,8886,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:42.418,8986,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:42.523,9091,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:42.623,9191,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:42.723,9291,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:42.824,9392,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:42.929,9497,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:43.029,9597,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:43.133,9701,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:43.234,9802,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:43.333,9901,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:43.439,10007,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:43.539,10108,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:43.639,10207,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:43.739,10307,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:43.840,10408,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:43.940,10508,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:44.040,10608,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:44.139,10707,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:44.240,10808,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:44.344,10912,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:44.444,11012,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:44.545,11113,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:44.650,11218,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:44.749,11318,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:44.850,11418,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:44.950,11518,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:45.050,11618,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:45.150,11718,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:45.251,11819,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:45.351,11919,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:45.451,12019,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:45.557,12125,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:45.656,12224,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:45.756,12324,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:45.862,12430,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:45.962,12530,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:46.062,12630,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:46.162,12730,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:46.262,12830,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:46.363,12931,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:46.462,13030,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:46.566,13134,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:46.667,13235,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:46.767,13335,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:46.872,13440,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:46.972,13540,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:47.072,13640,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:47.173,13741,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:47.277,13846,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:47.378,13946,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:47.478,14046,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:47.578,14147,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:47.683,14251,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:47.783,14351,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:47.888,14456,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:47.988,14557,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:48.088,14657,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:48.193,14761,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:48.293,14861,0.07,1.40,2.09,0.0,-3.15,-4.69
22:05:48.393,14961,0.07,1.40,2.09,0.0,-3.15,-4.69
