Timestamp,ElapsedMillis,Yaw,Pitch,Roll,Altitude,YawServo,PitchServo,Pyro1,Pyro2,DeltaTime,State
20:02:17.819,13578,-0.62,-0.21,-7.72,0.0,89.58,110.79,0,0,0.0010,0
20:02:17.820,13579,-0.64,-0.21,-7.73,0.0,89.48,111.14,0,0,0.0016,0
20:02:17.821,13580,-0.62,-0.21,-7.73,0.0,89.45,110.77,0,0,0.0010,0
20:02:17.822,13581,-0.62,-0.21,-7.73,0.0,89.45,110.77,0,0,0.0010,0
20:02:18.018,13777,-0.62,-0.21,-7.73,0.0,89.45,110.77,0,0,0.0017,0
20:02:18.224,13983,-0.62,-0.21,-7.73,0.0,89.45,110.77,0,0,0.0010,0
20:02:18.424,14183,-0.62,-0.21,-7.73,0.0,89.45,110.77,0,0,0.0029,0
20:02:18.625,14384,-0.62,-0.21,-7.73,0.0,89.45,110.77,0,0,0.0029,0
20:02:18.830,14589,-0.62,-0.21,-7.73,0.0,89.45,110.77,0,0,0.0023,0
20:02:19.030,14789,-0.62,-0.21,-7.73,0.0,89.45,110.77,0,0,0.0023,0
20:02:19.229,14988,-0.62,-0.21,-7.73,0.0,89.45,110.77,0,0,0.0018,0
20:02:19.430,15189,-0.62,-0.21,-7.73,0.0,89.45,110.77,0,0,0.0010,0
20:02:19.630,15389,-0.62,-0.21,-7.73,0.0,89.45,110.77,0,0,0.0016,0
20:02:19.829,15588,-0.62,-0.21,-7.73,0.0,89.45,110.77,0,0,0.0016,0
20:02:20.236,15995,-0.62,-0.21,-7.73,0.0,89.45,110.77,0,0,0.0029,0
20:02:29.498,25257,-0.62,-0.21,-7.73,0.0,89.45,110.77,0,0,0.0036,1
20:02:29.697,25456,-0.85,-0.40,0.01,0.0,95.12,117.37,0,0,0.0010,1
20:02:29.897,25656,-0.85,-0.39,0.01,0.0,94.99,117.48,0,0,0.0010,1
20:02:30.102,25861,-0.86,-0.40,0.01,0.0,95.19,117.54,0,0,0.0010,1
20:02:30.302,26061,-0.86,-0.40,0.01,0.0,95.31,117.54,0,0,0.0010,1
20:02:30.502,26261,-0.86,-0.41,0.01,0.0,95.38,117.73,0,0,0.0036,1
20:02:30.703,26462,-0.86,-0.41,0.01,0.0,95.50,117.61,0,0,0.0055,1
20:02:30.902,26661,-0.85,-0.41,0.01,0.0,95.55,117.41,0,0,0.0036,1
20:02:31.103,26862,-0.86,-0.42,0.01,0.0,95.73,117.68,0,0,0.0055,1
20:02:31.308,27067,-0.86,-0.42,0.01,0.0,95.73,117.68,0,0,0.0043,1
