Timestamp,ElapsedMillis,Yaw,Pitch,Roll,Altitude,YawServo,PitchServo
15:19:20.295,16975,1.59,-3.36,-0.50,812.3,0.00,0.00
15:19:20.352,17032,0.23,10.68,-0.00,0.1,0.95,-2.01
15:19:20.409,17089,0.23,10.68,-0.00,-0.1,0.13,6.53
15:19:20.467,17147,0.23,10.68,0.00,-0.0,0.07,6.58
15:19:20.524,17204,0.23,10.68,-0.00,-0.0,0.16,6.65
15:19:20.581,17261,0.24,10.69,-0.00,0.0,0.16,6.73
15:19:20.638,17319,0.24,10.69,0.00,0.1,0.17,6.80
15:19:20.695,17375,0.22,10.69,0.00,0.0,0.08,6.80
15:19:20.753,17433,0.23,10.61,-0.01,-0.0,0.17,6.70
15:19:20.810,17490,0.20,10.25,-0.00,0.1,0.09,5.94
15:19:20.866,17546,0.09,9.67,0.00,0.0,-0.17,4.99
15:19:20.924,17604,-0.16,8.74,-0.01,-0.1,-0.61,3.84
15:19:20.981,17661,-0.56,7.55,-0.02,-0.1,-1.22,2.47
15:19:21.039,17719,-1.14,6.18,-0.03,-0.1,-2.07,1.02
15:19:21.097,17777,-1.98,4.42,-0.05,0.0,-3.12,-0.65
15:19:21.153,17833,-2.96,2.53,-0.07,0.0,-4.12,-2.22
15:19:21.210,17890,-4.01,0.42,-0.08,-0.0,-4.98,-3.96
15:19:21.267,17948,-4.91,-1.72,-0.07,0.0,-5.36,-5.69
15:19:21.324,18005,-5.59,-4.06,-0.07,-0.0,-5.17,-7.08
15:19:21.382,18062,-5.72,-6.13,-0.06,-0.2,-4.07,-8.10
15:19:21.439,18119,-5.22,-7.87,-0.11,-0.1,-2.27,-8.45
15:19:21.496,18176,-4.06,-9.28,-0.06,-0.1,-0.19,-8.37
15:19:21.553,18233,-2.16,-10.01,-0.06,-0.1,2.90,-7.42
15:19:21.610,18291,0.38,-10.05,-0.04,-0.0,6.20,-5.80
15:19:21.668,18348,3.35,-9.52,-0.03,-0.0,9.00,-4.01
15:19:21.725,18405,6.59,-8.48,-0.02,0.0,11.27,-2.42
15:19:21.782,18462,9.55,-7.07,0.00,-0.0,13.23,-0.39
15:19:21.839,18519,12.56,-5.14,-0.01,-0.1,14.68,1.71
15:19:21.896,18576,15.41,-2.84,-0.02,-0.0,15.95,3.82
15:19:21.953,18634,17.78,-0.35,-0.00,-0.1,16.75,6.17
15:19:22.010,18690,19.70,2.19,-0.01,-0.0,17.09,8.11
15:19:22.068,18748,21.36,4.91,0.04,0.0,17.24,9.76
15:19:22.125,18805,22.41,7.41,0.04,-0.1,16.64,10.88
15:19:22.183,18863,22.77,9.49,0.06,-0.1,15.40,11.49
15:19:22.240,18920,22.54,11.41,0.06,-0.1,13.96,11.95
15:19:22.297,18977,21.57,12.97,0.07,-0.0,11.81,12.06
15:19:22.354,19034,20.02,13.99,0.05,-0.1,9.20,11.81
15:19:22.411,19091,17.73,14.66,0.05,-0.2,6.19,11.22
15:19:22.468,19148,14.75,14.95,0.04,-0.1,3.24,10.58
15:19:22.525,19205,11.47,14.86,0.02,-0.0,0.08,9.70
15:19:22.583,19263,7.88,14.47,0.01,0.0,-2.71,8.80
15:19:22.640,19320,4.17,13.82,-0.02,0.0,-4.89,7.92
15:19:22.697,19377,0.60,13.02,-0.09,-0.0,-6.53,7.17
15:19:22.754,19434,-2.24,12.26,-0.15,0.1,-7.65,6.52
15:19:22.811,19491,-5.03,11.45,-0.20,-0.0,-8.50,6.16
15:19:22.869,19549,-7.56,10.68,-0.25,-0.0,-9.34,5.90
15:19:22.926,19607,-9.43,10.03,-0.28,-0.1,-9.41,5.74
15:19:22.983,19663,-10.95,9.32,-0.29,-0.1,-9.20,5.38
15:19:23.040,19720,-11.59,8.51,-0.31,-0.0,-7.69,4.77
15:19:23.098,19778,-11.26,7.58,-0.30,0.0,-5.21,3.84
15:19:23.155,19835,-10.01,6.56,-0.27,-0.0,-2.22,3.04
15:19:23.212,19892,-8.17,5.40,-0.24,0.1,0.35,2.09
15:19:23.269,19949,-5.88,4.12,-0.17,0.1,2.72,1.11
15:19:23.325,20005,-3.71,2.98,-0.14,0.0,4.27,0.49
15:19:23.384,20064,-1.44,1.80,-0.11,0.1,5.34,-0.01
15:19:23.441,20121,0.39,0.84,-0.10,0.1,5.56,-0.13
15:19:23.498,20178,1.69,0.02,-0.09,0.0,5.21,-0.29
15:19:23.556,20236,2.43,-0.72,-0.10,-0.0,4.24,-0.56
15:19:23.612,20292,2.68,-1.58,-0.11,0.0,3.26,-1.27
15:19:23.670,20350,2.42,-2.64,-0.11,0.0,1.84,-2.44
15:19:23.726,20406,1.84,-3.83,-0.11,-0.0,0.61,-3.63
15:19:23.784,20464,0.97,-5.28,-0.10,-0.1,-0.44,-4.85
15:19:23.841,20521,0.09,-6.62,-0.09,0.0,-1.23,-5.80
15:19:23.898,20578,-0.76,-7.67,-0.11,-0.1,-1.61,-5.80
15:19:23.955,20635,-1.49,-8.21,-0.09,-0.0,-1.76,-4.89
15:19:24.012,20692,-1.89,-7.85,-0.08,-0.1,-1.32,-2.69
15:19:24.069,20749,-1.99,-6.63,-0.08,-0.1,-0.64,0.28
15:19:24.127,20807,-1.92,-4.55,-0.07,-0.1,-0.10,3.50
15:19:24.184,20864,-1.75,-1.73,-0.08,0.0,0.17,6.22
15:19:24.241,20921,-1.57,0.86,-0.08,0.1,0.40,8.89
15:19:24.299,20979,-1.32,4.08,-0.05,-0.0,0.63,11.28
15:19:24.356,21036,-1.07,7.37,-0.05,-0.1,0.79,13.41
15:19:24.413,21093,-0.84,10.31,-0.01,-0.1,0.91,15.06
15:19:24.470,21150,-0.63,12.93,0.00,-0.0,1.02,16.05
15:19:24.527,21207,-0.45,15.41,0.04,-0.0,1.01,16.85
15:19:24.585,21265,-0.37,17.25,0.02,-0.1,0.85,16.83
15:19:24.641,21321,-0.53,18.21,0.02,-0.1,0.20,15.47
15:19:24.699,21379,-0.87,18.34,-0.02,-0.1,-0.43,13.58
15:19:24.757,21437,-1.39,17.40,-0.02,0.0,-1.18,10.64
15:19:24.813,21493,-1.90,15.74,-0.07,-0.1,-1.71,7.43
15:19:24.870,21550,-2.43,13.12,-0.09,0.1,-1.94,3.88
15:19:24.928,21608,-2.89,9.88,-0.11,-0.0,-2.07,0.68
15:19:24.984,21664,-3.13,6.61,-0.10,-0.2,-1.82,-2.06
15:19:25.042,21722,-3.15,3.10,-0.11,-0.0,-1.27,-4.15
15:19:25.100,21780,-2.79,-0.10,-0.15,-0.0,-0.25,-5.36
15:19:25.156,21836,-1.93,-2.92,-0.11,0.0,1.32,-5.98
15:19:25.214,21894,-0.74,-4.80,-0.12,0.0,3.31,-5.86
15:19:25.271,21951,1.01,-6.36,-0.13,-0.0,5.39,-5.51
15:20:13.777,70457,-11.75,10.61,-2.23,-0.1,6.18,-5.19
15:20:13.833,70513,-0.50,16.01,-0.01,-0.0,-7.05,6.37
15:20:13.891,70571,-0.50,15.98,0.01,-0.1,-0.37,9.72
15:20:13.949,70629,-0.47,15.93,0.01,-0.1,-0.09,9.67
15:20:14.006,70686,-0.46,15.89,-0.01,-0.2,-0.20,9.77
15:20:14.062,70742,-0.43,15.81,-0.01,-0.1,-0.21,9.73
15:20:14.120,70800,-0.20,15.61,-0.04,-0.2,0.35,9.44
15:20:14.177,70857,0.54,15.19,-0.02,-0.1,1.96,8.78
15:20:14.234,70914,1.97,14.56,-0.00,-0.1,4.24,8.03
15:20:14.292,70972,3.89,13.82,0.03,-0.0,7.10,7.24
15:20:14.349,71029,6.41,12.87,0.07,-0.1,9.73,6.34
15:20:14.406,71086,9.18,11.73,0.07,-0.2,11.93,5.42
15:20:14.463,71143,11.77,10.52,0.06,-0.1,13.68,4.31
15:20:14.521,71201,14.27,9.17,0.06,-0.2,15.21,3.14
15:20:14.577,71257,16.95,7.58,0.04,-0.2,16.77,1.94
15:20:14.634,71314,19.42,5.91,0.00,-0.1,18.11,0.65
15:20:14.692,71372,21.68,4.23,-0.03,-0.0,19.22,-0.48
15:20:14.749,71429,23.83,2.46,-0.06,-0.1,19.99,-1.50
15:20:14.806,71486,25.70,0.73,-0.09,-0.1,20.68,-2.38
15:20:14.864,71544,27.00,-0.66,-0.10,-0.1,20.64,-2.87
15:20:14.921,71601,28.00,-1.95,-0.13,-0.1,20.46,-3.19
15:20:14.978,71658,28.66,-3.11,-0.13,-0.1,20.14,-3.55
15:20:15.035,71715,28.82,-3.92,-0.12,-0.0,19.28,-3.37
15:20:15.092,71772,28.53,-4.48,-0.06,-0.1,18.11,-2.95
15:20:15.149,71829,27.80,-4.70,-0.04,-0.0,16.91,-2.37
15:20:15.206,71886,26.58,-4.58,-0.01,-0.0,15.18,-1.48
15:20:15.264,71944,25.05,-4.20,0.00,-0.1,13.31,-0.57
15:20:15.322,72002,23.07,-3.67,0.02,-0.2,11.40,0.07
15:20:15.378,72058,20.55,-3.15,0.05,-0.1,8.88,0.36
15:20:15.436,72116,17.85,-2.77,0.09,-0.0,6.27,0.36
15:20:15.492,72172,14.59,-2.44,0.09,0.0,3.78,0.31
15:20:15.550,72230,11.16,-2.27,0.13,0.0,1.24,0.03
15:20:15.607,72287,7.50,-2.24,0.13,0.0,-1.17,-0.29
15:20:15.664,72344,4.08,-2.27,0.14,0.1,-3.03,-0.53
15:20:15.721,72401,0.94,-2.28,0.12,0.1,-4.95,-0.50
15:20:15.779,72459,-2.26,-2.20,0.12,0.0,-6.43,-0.25
15:20:15.836,72516,-4.99,-1.98,0.11,-0.1,-7.40,0.22
15:20:15.893,72573,-7.58,-1.50,0.09,-0.1,-8.06,0.99
15:20:15.951,72631,-9.45,-0.67,0.07,-0.1,-7.84,2.32
15:20:16.007,72687,-10.68,0.59,0.07,-0.1,-7.12,4.21
15:20:16.065,72745,-11.38,2.32,0.05,-0.1,-6.07,6.24
