Timestamp,ElapsedMillis,,Pitch,Roll,Altitude,,PitchServo,,,ElapsedMillis,Yaw,YawServo,,ElapsedMillis,Pitch,PitchServo
12:49.8,44947,,15.09,0.3,-0.1,,8.77,,,44947,-14.68,-6.86,,44947,15.09,8.77
12:49.8,45004,,13.68,0.3,0,,7.3,,,45004,-13.56,-5.82,,45004,13.68,7.3
12:49.9,45061,,12.1,0.32,0,,6.01,,,45061,-12.29,-4.81,,45061,12.1,6.01
12:49.9,45119,,10.37,0.32,0,,4.74,,,45119,-10.96,-3.93,,45119,10.37,4.74
12:50.0,45176,,8.68,0.36,0,,3.67,,,45176,-9.72,-3.27,,45176,8.68,3.67
12:50.1,45233,,7.19,0.37,0,,2.94,,,45233,-8.65,-2.9,,45233,7.19,2.94
12:50.1,45290,,5.8,0.39,-0.1,,2.76,,,45290,-7.61,-2.7,,45290,5.8,2.76
12:50.2,45347,,4.63,0.38,-0.1,,2.73,,,45347,-6.71,-2.61,,45347,4.63,2.73
12:50.2,45404,,3.76,0.39,-0.1,,2.58,,,45404,-6.03,-2.47,,45404,3.76,2.58
12:50.3,45462,,2.94,0.4,-0.1,,2.34,,,45462,-5.18,-1.92,,45462,2.94,2.34
12:50.3,45519,,2.97,0.44,-0.1,,4.21,,,45519,-3.97,-0.45,,45519,2.97,4.21
12:50.4,45575,,4.12,0.44,-0.1,,7.62,,,45575,-2.42,1.62,,45575,4.12,7.62
12:50.5,45633,,6.35,0.49,0,,11.65,,,45633,-0.53,3.4,,45633,6.35,11.65
12:50.5,45690,,9.3,0.53,0,,15.38,,,45690,1.63,5.3,,45690,9.3,15.38
12:50.6,45747,,12.09,0.6,0,,17.32,,,45747,3.81,7.11,,45747,12.09,17.32
12:50.6,45804,,14.98,0.67,0,,18.72,,,45804,6.27,8.73,,45804,14.98,18.72
12:50.7,45861,,16.98,0.76,0,,18.47,,,45861,8.48,9.89,,45861,16.98,18.47
12:50.7,45918,,17.84,0.76,0,,16.41,,,45918,10.44,10.55,,45918,17.84,16.41
12:50.8,45976,,17.39,0.79,-0.1,,12.83,,,45976,12.16,10.83,,45976,17.39,12.83
12:50.9,46033,,15.82,0.74,-0.1,,9.33,,,46033,13.32,10.56,,46033,15.82,9.33
12:50.9,46090,,13.49,0.72,-0.2,,5.95,,,46090,13.69,9.06,,46090,13.49,5.95
12:51.0,46148,,10.37,0.67,-0.2,,2.21,,,46148,13.45,7.25,,46148,10.37,2.21
12:51.0,46205,,6.9,0.65,-0.1,,-0.27,,,46205,12.77,5.98,,46205,6.9,-0.27
12:51.1,46262,,3.73,0.61,-0.1,,-2.33,,,46262,11.88,4.73,,46262,3.73,-2.33
12:51.1,46318,,0.62,0.62,-0.1,,-3.61,,,46318,10.8,3.83,,46318,0.62,-3.61
12:51.2,46376,,-2.22,0.6,-0.2,,-4.42,,,46376,9.64,3.04,,46376,-2.22,-4.42
12:51.3,46433,,-4.4,0.61,-0.1,,-4.67,,,46433,8.56,2.44,,46433,-4.4,-4.67
12:51.3,46491,,-6.06,0.59,-0.1,,-4.47,,,46491,7.6,2.12,,46491,-6.06,-4.47
12:51.4,46547,,-7.27,0.61,0,,-3.92,,,46547,6.65,1.77,,46547,-7.27,-3.92
