Timestamp,ElapsedMillis,dt,flight time (s),Yaw,YawServo,Pitch,PitchServo,CapYawServo,CapPitchServo,Yaw,Pitch,Roll,Altitude,YawServo,PitchServo
48:32.6,28552,57,2.684,-1.34,-2.91,-0.49,-1.63,-2.91,-1.63,-1.34,-0.49,0.05,0.3,-2.91,-1.63
48:32.6,28610,58,2.742,-1.65,-2.01,-1.06,-2.23,-2.01,-2.23,-1.65,-1.06,0.07,0.4,-2.01,-2.23
48:32.7,28667,57,2.799,-1.54,-0.81,-1.47,-1.93,-0.81,-1.93,-1.54,-1.47,0.05,0.4,-0.81,-1.93
48:32.7,28724,57,2.856,-0.95,0.68,-1.53,-1.13,0.68,-1.13,-0.95,-1.53,0.02,0.3,0.68,-1.13
48:32.8,28782,58,2.914,-0.25,1.71,-1.29,-0.19,1.71,-0.19,-0.25,-1.29,-0.03,0.4,1.71,-0.19
48:32.9,28839,57,2.971,0.42,1.97,-0.89,0.49,1.97,0.49,0.42,-0.89,-0.07,0.3,1.97,0.49
48:32.9,28895,56,3.027,0.82,1.59,-0.57,0.52,1.59,0.52,0.82,-0.57,-0.1,0.2,1.59,0.52
48:33.0,28953,58,3.085,0.76,0.51,-0.47,0.08,0.51,0.08,0.76,-0.47,-0.09,0.3,0.51,0.08
48:33.0,29010,57,3.142,0.14,-0.99,-0.16,0.82,-0.99,0.82,0.14,-0.16,0.05,-12.4,-0.99,0.82
,,-29010,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,
